;individual;family;tribe;genus;subgenus;species;trait;value
229;K-0314;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,448
230;K-0314;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,63
231;K-0315;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,43
232;K-0315;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,613
233;K-0316;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,405
234;K-0316;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,59
235;K-0317;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,493
236;K-0317;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,631
237;K-0318;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,372
238;K-0318;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,61
239;K-0319;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,369
240;K-0319;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,601
241;K-0320;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,414
242;K-0320;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,583
243;K-0321;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,457
244;K-0321;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,618
245;K-0322;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;intertegularDistance;1,425
246;K-0322;Apidae;Meliponini;Nannotrigona;NA;Nannotrigona tristella;proboscisLength;1,624
247;K-0328;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;intertegularDistance;0,912
248;K-0328;Apidae;Meliponini;Dolichotrigona;NA;Dolichotrigona schulthessi;proboscisLength;1,107
249;K-0358;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,137
250;K-0358;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;1,978
251;K-0359;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,164
252;K-0359;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,105
253;K-0360;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,122
254;K-0360;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,042
255;K-0361;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,137
256;K-0361;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,065
257;K-0362;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,149
258;K-0362;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,199
259;K-0363;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,155
260;K-0363;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,199
261;K-0364;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,134
262;K-0364;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,259
263;K-0365;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,123
264;K-0365;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;1,982
265;K-0366;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,118
266;K-0366;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,011
267;K-0367;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;intertegularDistance;1,176
268;K-0367;Apidae;Meliponini;Nogueirapis;NA;Nogueirapis mirandula;proboscisLength;2,115
