Collection date;Plot;Location;Individual;Group;Genus;Species;Morphotype;Trait;Value;Unit;OBS
;OG41;Canopy;A-0630;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,771;mm;
;OG41;Canopy;A-0630;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,936;mm;
;OG41;Canopy;A-0630;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,462;mm;
;OG41;Canopy;A-0630;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,474;mm;
;OG41;Canopy;A-0631;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;weight;0,0013;g;
;OG41;Canopy;A-0631;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;wingLength;2,503;mm;
;OG41;Canopy;A-0631;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;intertegularDistance;0,748;mm;
;OG41;Canopy;A-0631;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;proboscisLength;0,877;mm;
;OG41;Canopy;A-0631;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;prementumLength;0,466;mm;
;OG41;Canopy;A-0631;Apidae: Apinae: Meliponini;Trigonisca;Trigonisca cf atomaria;MEL-22;glossaLength;0,411;mm;
;OG41;Understory;A-0723;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0143;g;
